Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:59:29 UTC 2014,1.08,52,9,,
Wed Feb 12 16:59:39 UTC 2014,1.08,52,9,,
Wed Feb 12 16:59:55 UTC 2014,1.08,40.7,9,,
Wed Feb 12 17:00:03 UTC 2014,1.08,40.7,9,,
Wed Feb 12 17:00:15 UTC 2014,1.08,40.7,9,,
Wed Feb 12 17:00:26 UTC 2014,1.08,40.7,9,,
Wed Feb 12 17:00:32 UTC 2014,1.08,40.7,9,,
Wed Feb 12 17:00:45 UTC 2014,1.08,37.2,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:00 UTC 2014,1.08,37.2,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:10 UTC 2014,1.08,36.4,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:24 UTC 2014,1.08,36.4,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:33 UTC 2014,1.08,40.225,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:44 UTC 2014,1.08,40.225,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
