Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 17:01:29 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:40 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:56 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:07 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:19 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:29 UTC 2014,0.12,49,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:44 UTC 2014,0.12,49,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:00 UTC 2014,0.12,66,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:09 UTC 2014,0.12,66,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:18 UTC 2014,0.12,66,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:30 UTC 2014,0.12,66,1,,
Wed Feb 12 17:03:41 UTC 2014,0.12,109,1,,
Wed Feb 12 17:03:53 UTC 2014,0.12,109,1,,
Wed Feb 12 17:04:06 UTC 2014,0.12,140,1,,
Wed Feb 12 17:04:14 UTC 2014,0.12,140,1,,
Wed Feb 12 17:04:28 UTC 2014,0.12,108,1,,
Wed Feb 12 17:04:41 UTC 2014,0.12,108,1,,
Wed Feb 12 17:04:48 UTC 2014,0.12,108,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 17:04:59 UTC 2014,0.12,198,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 17:05:14 UTC 2014,0.12,198,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 17:05:24 UTC 2014,0.12,198,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
